setup_date,ticker,setup_strength,vix_at_setup,contract_symbol,expiration,strike,dte,entry_price,exit_price,exit_reason,hold_days,gross_pnl,fees_slippage,net_pnl,cumulative_pnl
2026-05-14,IWM,0.8095,17.26,IWM   260918C00285000,2026-09-18,285.0,127,15.475,14.01,time,5,-146.5,13.0,-159.5,7976.5
2026-05-14,XLI,0.9762,17.26,XLI   260918C00175000,2026-09-18,175.0,127,9.02,6.55,time,5,-247.0,13.0,-260.0,7716.5
2026-05-18,DIA,0.9921,17.82,DIA   260918C00505000,2026-09-18,505.0,123,14.6,18.98,time,5,438.0,13.0,425.0,8141.5
2026-05-18,SPY,0.9206,17.82,SPY   260918C00740000,2026-09-18,740.0,123,30.885,37.7,time,5,681.5,13.0,668.5,8810.0
2026-05-21,MSFT,0.8016,16.76,MSFT  260918C00420000,2026-09-18,420.0,120,32.975,49.4625,target,5,1648.75,13.0,1635.75,10445.75
2026-05-22,MSFT,0.873,16.7,MSFT  260918C00420000,2026-09-18,420.0,119,31.925,47.8875,target,4,1596.25,13.0,1583.25,12029.0
2026-05-26,DIA,0.9603,17.01,DIA   260918C00505000,2026-09-18,505.0,115,19.62,23.79,time,5,417.0,13.0,404.0,12433.0
2026-05-26,MSFT,0.9048,17.01,MSFT  260918C00420000,2026-09-18,420.0,115,29.85,44.775,target,3,1492.5,13.0,1479.5,13912.5
2026-05-27,DIA,0.9127,16.29,DIA   260918C00505000,2026-09-18,505.0,114,20.525,21.4,time,5,87.5,13.0,74.5,13987.0
2026-05-27,AAPL,0.8651,16.29,AAPL  260918C00310000,2026-09-18,310.0,114,19.22,19.15,time,5,-7.0,13.0,-20.0,13967.0
2026-05-27,MSFT,0.9921,16.29,MSFT  260918C00410000,2026-09-18,410.0,114,32.61,48.915,target,2,1630.5,13.0,1617.5,15584.5
2026-05-28,DIA,0.9286,15.74,DIA   260918C00505000,2026-09-18,505.0,113,20.145,27.0,time,5,685.5,13.0,672.5,16257.0
2026-05-28,AAPL,0.9444,15.74,AAPL  260918C00315000,2026-09-18,315.0,113,16.55,16.83,time,5,28.0,13.0,15.0,16272.0
2026-05-28,V,0.9603,15.74,V     260918C00325000,2026-09-18,325.0,113,18.28,16.5,time,5,-178.0,13.0,-191.0,16081.0
2026-05-29,XLI,0.8254,15.32,XLI   260918C00173000,2026-09-18,173.0,112,9.23,9.23,time,5,0.0,13.0,-13.0,16068.0
2026-05-29,AAPL,0.9921,15.32,AAPL  260918C00310000,2026-09-18,310.0,112,19.55,17.73,time,5,-182.0,13.0,-195.0,15873.0
2026-05-29,V,0.9762,15.32,V     260918C00325000,2026-09-18,325.0,112,20.6,18.85,time,5,-175.0,13.0,-188.0,15685.0
2026-06-01,DIA,0.8016,16.05,DIA   260918C00510000,2026-09-18,510.0,109,18.855,18.48,time,5,-37.5,13.0,-50.5,15634.5
2026-06-01,XLI,0.8254,16.05,XLI   260918C00173000,2026-09-18,173.0,109,9.23,9.23,time,5,0.0,13.0,-13.0,15621.5
2026-06-03,XLI,0.8016,16.06,XLI   260918C00175000,2026-09-18,175.0,107,8.48,6.05,time,5,-243.0,13.0,-256.0,15365.5
2026-06-04,AAPL,0.9524,15.4,AAPL  260918C00310000,2026-09-18,310.0,106,19.675,9.8375,stop,3,-983.75,13.0,-996.75,14368.75
